Category: All categories

Month,Machine learning: (Worldwide),Data science: (Worldwide),Deep learning: (Worldwide),Artificial intelligence: (Worldwide)
2004-01,3,<1,<1,69
2004-02,4,<1,<1,78
2004-03,5,<1,<1,77
2004-04,4,<1,<1,76
2004-05,4,<1,<1,78
2004-06,4,<1,<1,70
2004-07,3,<1,<1,69
2004-08,3,<1,<1,68
2004-09,3,<1,<1,71
2004-10,4,<1,<1,70
2004-11,3,<1,<1,81
2004-12,3,<1,<1,78
2005-01,3,<1,<1,69
2005-02,3,<1,<1,66
2005-03,4,<1,<1,66
2005-04,3,<1,<1,65
2005-05,3,<1,<1,67
2005-06,3,<1,<1,62
2005-07,3,<1,<1,59
2005-08,2,<1,<1,59
2005-09,3,<1,<1,60
2005-10,3,<1,<1,63
2005-11,3,<1,<1,63
2005-12,3,<1,<1,61
2006-01,3,<1,<1,57
2006-02,3,<1,<1,61
2006-03,3,<1,<1,59
2006-04,3,<1,<1,61
2006-05,2,<1,<1,59
2006-06,2,<1,<1,59
2006-07,2,<1,<1,56
2006-08,2,<1,<1,57
2006-09,2,<1,<1,66
2006-10,3,<1,<1,60
2006-11,3,<1,<1,62
2006-12,3,<1,<1,57
2007-01,3,<1,<1,59
2007-02,3,<1,<1,55
2007-03,3,<1,<1,59
2007-04,3,<1,<1,58
2007-05,3,<1,<1,60
2007-06,2,<1,<1,62
2007-07,2,<1,<1,56
2007-08,2,<1,<1,56
2007-09,3,<1,<1,60
2007-10,3,<1,<1,61
2007-11,3,<1,<1,62
2007-12,3,<1,<1,61
2008-01,2,<1,<1,58
2008-02,3,<1,<1,63
2008-03,3,<1,<1,65
2008-04,3,<1,<1,62
2008-05,3,<1,<1,63
2008-06,2,<1,<1,62
2008-07,2,<1,<1,58
2008-08,2,<1,<1,60
2008-09,2,<1,<1,62
2008-10,2,<1,<1,67
2008-11,3,<1,<1,66
2008-12,2,<1,<1,62
2009-01,2,<1,<1,63
2009-02,2,<1,<1,65
2009-03,2,<1,<1,66
2009-04,3,<1,<1,67
2009-05,2,<1,<1,68
2009-06,2,<1,<1,73
2009-07,3,<1,<1,71
2009-08,2,<1,<1,72
2009-09,2,<1,<1,73
2009-10,3,<1,<1,71
2009-11,2,<1,<1,68
2009-12,2,<1,<1,69
2010-01,2,<1,<1,75
2010-02,2,<1,<1,68
2010-03,2,<1,<1,72
2010-04,2,<1,<1,73
2010-05,2,<1,<1,72
2010-06,2,<1,<1,66
2010-07,2,<1,<1,66
2010-08,2,<1,<1,75
2010-09,2,<1,<1,73
2010-10,2,<1,<1,76
2010-11,2,<1,<1,74
2010-12,2,<1,<1,75
2011-01,2,<1,<1,73
2011-02,2,<1,<1,72
2011-03,2,<1,<1,69
2011-04,2,<1,<1,74
2011-05,2,<1,<1,74
2011-06,2,<1,<1,74
2011-07,2,<1,<1,73
2011-08,2,<1,<1,79
2011-09,2,<1,<1,76
2011-10,3,<1,<1,83
2011-11,3,<1,<1,82
2011-12,2,<1,<1,83
2012-01,2,<1,<1,81
2012-02,2,<1,<1,83
2012-03,2,<1,<1,86
2012-04,3,<1,<1,80
